NAME                               READY   STATUS      RESTARTS        AGE
accounting-5968c4549c-ndz9c        1/1     Running     0               3m54s
ad-6766d6dbf5-47gtm                1/1     Running     0               3m54s
cart-7ddcffb8b5-smb2j              1/1     Running     0               2m21s
checkout-598658964d-t8thw          1/1     Running     0               3m54s
currency-74755d5fb5-tfnzw          1/1     Running     0               3m54s
email-cc5fbdd78-kzjgg              1/1     Running     0               3m54s
flagd-7f4b786fb9-vrxxx             1/2     OOMKilled   4 (103s ago)    2m22s
fraud-detection-7848d86556-zs4n2   1/1     Running     0               3m54s
frontend-6f7b4557b9-nmcp9          1/1     Running     0               3m53s
frontend-proxy-77644c45c8-9skkj    1/1     Running     0               3m53s
image-provider-dd55595f5-p59bv     1/1     Running     0               3m53s
kafka-bb4bbc759-tmqqg              1/1     Running     0               3m53s
llm-5fddbb8c4d-jvc82               1/1     Running     0               3m53s
load-generator-7587c94976-pvlvn    1/1     Running     0               3m52s
otel-collector-d4cff88b4-46v8c     1/1     Running     0               3m52s
payment-6bb67944bf-jbhzm           1/1     Running     0               3m52s
postgresql-7bb76c85c-2tp9p         1/1     Running     0               3m52s
product-catalog-54b9896767-vqrmf   1/1     Running     2 (3m50s ago)   3m52s
product-reviews-f6c767477-hvmhk    1/1     Running     0               3m51s
quote-654d8b4f44-qmdqr             1/1     Running     0               3m51s
recommendation-5d9d87b775-wwdpm    1/1     Running     0               3m51s
shipping-86d558f58f-k62td          1/1     Running     0               3m51s
valkey-cart-89745f57d-qgqk4        1/1     Running     0               3m51s
